cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,full_name
6564460000000000.0,"fraud_Jenkins, Hauck and Friesen",gas_transport,75.79,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,1958,ade47e682350050b6de3248597a969f6,1387767028,43.52295,-91.270081,0,Douglas Willis
4451950000000000.0,fraud_Schuppe LLC,entertainment,81.57,Joseph,Davis,M,941 Adam Stravenue,Nazareth,TX,79063,34.5444,-102.1069,686,Petroleum engineer,1980,36d5d498cb99b600b05f9a99f9e2e45a,1372895074,34.214647,-101.425936,0,Joseph Davis
378006000000000.0,fraud_Lockman Ltd,grocery_pos,311.92,Christopher,Matthews,M,433 John Heights Apt. 849,Etlan,VA,22719,38.5095,-78.2638,395,Senior tax professional/tax inspector,1982,cac039caa0aa42f0f68d72502151c34f,1384475389,39.006783,-79.036502,1,Christopher Matthews
370819000000000.0,fraud_Johns Inc,entertainment,8.21,John,Davis,M,9670 Monroe Junctions,Rockwood,PA,15557,39.9373,-79.1865,3684,General practice doctor,1976,7d36e9d6c59798d9f68d889584cb99bd,1374241810,40.397423,-79.586829,0,John Davis
180068000000000.0,fraud_Frami Group,entertainment,2.32,Mary,Juarez,F,35440 Ryan Islands,North Prairie,WI,53153,42.9385,-88.395,2328,Applications developer,1942,1c50094273dd6037891e81c3d0934d85,1387026602,43.016038,-88.425097,0,Mary Juarez
3533740000000000.0,fraud_Crooks and Sons,personal_care,5.52,Robert,Haynes,M,857 Aaron Circles Suite 398,Johns Island,SC,29455,32.8357,-79.8217,20478,Materials engineer,1997,ac7b6d018fc8bfb879209f9aec6a97fd,1374849089,32.37214,-79.441292,0,Robert Haynes
30199600000000.0,fraud_Gottlieb Group,kids_pets,20.9,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,1977,cb535f8f79cc09361832c2df456473eb,1375915691,33.545252,-95.448972,1,Theresa Powell
6595970000000000.0,fraud_Graham and Sons,health_fitness,9.9,Gina,Gomez,F,72030 Shelton Crossing Apt. 742,Stirling,NJ,7980,40.6774,-74.4968,2307,Science writer,1969,9da159e2460d03c714325b8308d9cf4b,1373646613,41.256923,-74.605098,0,Gina Gomez
343464000000000.0,"fraud_Schmeler, Bashirian and Price",shopping_net,1.61,Jodi,Foster,F,551 Zachary Freeway,Bailey,NC,27807,35.8072,-78.0892,6629,Call centre manager,1962,77652e4af31d1be3444f14eb96f8b34e,1376888881,36.140336,-78.407533,0,Jodi Foster
4.35231e+18,fraud_Kuhic LLC,shopping_net,1153.43,Joseph,Bartlett,M,610 Pacheco Parkway,Falls Church,VA,22046,38.8856,-77.1802,116155,Armed forces training and education officer,1932,b27d09db88c8d5831b0179609c9c90e7,1375226410,38.366676,-77.210792,1,Joseph Bartlett
